feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,
A-6,Фонологические ступени долготы,not_applicable,,,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,
A-8,Противопоставление гласных по лабиализации,listed,A-8-3,В заднем ряду,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,
A-10,Противопоставление гласных по назализации,not_applicable,,,Фонема /а?/ переднего ряда нижнего подъема использовалась на месте утраченной носовой в ограниченном числе слов и форм.,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,Других данных нет.,,
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,Фонологический статус палатальных/непалатальных коррелятов различался по диалектам.,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, фрикативные и аффрикаты",,,
A-17,Типы шумных согласных по месту образования,listed,A-17-3,"Губные, переднеязычные, палатальные и велярные/увулярные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-6,Дентальные и альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-1,Велярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,not_stated,,,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-2,"Назальные, плавные и вибранты",Глайд /j/ определяется как звонкий среднеязычный шумный фрикативный.,,
A-24,Инвентарь сонорных согласных по месту образования,custom,,Лабиальные и переднеязычные (дентальные и альвеолярные),,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,not_stated,,,Данных нет.,,
B-2,Вид ударения (качественные характеристики),listed,B-2-1,Динамическое,Ударение находилось в процессе формирования.,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,not_stated,,,Данных нет.,,
B-5,Носители ограниченного (разноместного) ударения,not_stated,,,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_stated,,,Праславянские тоновые различия слогов утрачены.,,
B-10,Виды тонем,not_stated,,,,,
B-11,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_stated,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Количество уровней контурных тонов,not_stated,,,,,
B-14,Носитель тона,not_stated,,,,,
B-15,Характер долготы,listed,B-15-1,Фонологическая,,,
B-16,Область гармонического уподобления гласных,not_stated,,,Для раннего Д.я. характерен внутрислоговой сингармонизм согласных и гласных.,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,listed,B-19-5,Веляризация и палатализация,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,custom,,Ограниченный набор гласных в начале слова,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-1,Отсутствуют,Других данных нет.,,
D-3,Особенности слогового состава слова,not_stated,,,Данных нет.,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-4,Различия в фонетическом составе и в структуре слога,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-2,Различия в фонетическом составе,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-11,"Вокалические, консонантные и чередования комплексов",,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,listed,E-2-7,Фонетически необусловленные изменения в основе и кумулятивность аффиксов,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-5,Синтетический,,,
F-1,Количество согласовательных классов,listed,F-1-3,Три,,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-9,Флексии в имени и глаголе,,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-14,"В прилагательном, числительном и местоимении",,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-3,"В единственном, двойственном и множественном числе",,,
F-6,Согласование количественных числительных в роде,listed,F-6-5,"Для числительных ""один"", ""два"", ""три"" и ""четыре""",Других данных нет.,,
F-7,Классифицирующие категории существительных,listed,F-7-2,Личность/неличность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-4,Лексическое и морфологическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-6,Лексический и морфологический,,,
G-1,Категория числа у существительных,listed,G-1-2,"Единственное, двойственное и множественное",,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,Данных нет.,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-4,"Единственное, двойственное и множественное",,,
G-6,Система счисления,not_stated,,,Данных нет.,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, падежно-числовые флексии и энклитические формы личных местоимений",,,
H-3,Падежное оформление именного сказуемого,not_stated,,,Данных нет.,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-6,Генитив или датив,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-21,Посессивные местоимения и посессивные прилагательные,,,
H-6,Способ выражения пространственных отношений,listed,H-6-46,"Пространственные падежи, местоимения, наречия и предлоги",,,
H-7,Маркирование в посессивной конструкции,custom,,"Маркирование есть, требует уточнения",,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-2,Есть различия,,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,,
