feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-3,Четыре,,,
A-2,Подъемы гласных,listed,A-2-4,"Верхний, верхне-средний, средний и нижний",Вокализм П.я. представляет собой гетерогенную систему на основе заимствований из дардских языков и языков дари пашто.,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",Других жанных нет.,,
A-5,Наличие фонологических ступеней долготы,not_stated,,,,,
A-6,Фонологические ступени долготы,custom,,Две ступени долготы гласных фонологически не интерпретируются,,,
A-7,Наличие противопоставления гласных по лабиализации,not_stated,,,,,
A-8,Противопоставление гласных по лабиализации,not_stated,,,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-1,Присутствует,,,
A-10,Противопоставление гласных по назализации,listed,A-10-6,В среднем и заднем рядах,Других данных нет.,,
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,not_stated,,,,,
A-14,Типы дифтонгов,not_stated,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-16,Типы шумных согласных по способу артикуляции,custom,,Смычные: чистые (неносовые и носовые) и аффрикаты; щелевые: срединные (одно- и двухфокусные); дрожащие,,,
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,custom,,Дорсальные и апикальные; церебральные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,Других данных нет.,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-19,По аспирации,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,Других данных нет.,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,not_stated,,,,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,custom,,"Начальный, второй слог или конечный слог слова, кроме постопозитивных артиклей, энклитических местоимений и модальных частиц",,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Количество уровней тонов,not_stated,,,,,
B-9,Контурные признаки тона,not_stated,,,,,
B-10,Носитель тона,not_stated,,,,,
B-11,Характер долготы,listed,B-11-2,Нефонологическая,Акцентное противопоставление презентных основ в значительной мере нейтрализовано.,,
B-12,Область гармонического уподобления гласных,not_stated,,,,,
B-13,Признак гармонического уподобления гласных,not_stated,,,,,
B-14,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-15,Прочие супрасегментные явления,custom,,"Появление протетических гласных, выпадение гласных и появление нового гласного в результате контракции",,,
B-16,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-6,Запрет на любые стечения согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-1,Отсутствуют,Других данных нет.,,
D-3,Особенности слогового состава слова,listed,D-3-5,Преимущественно одно- и двусложные слова,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-3,Акцентные различия,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-7,"Различия в фонетическом составе, в структуре слога и акцентные различия",,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-3,Акцентные различия,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,custom,,Флективно-аналитический с элементами агглютинации,,,
E-2,Признаки флективного строя,custom,,"Кумулятивность аффиксов у глагола, внутрення флексия (именное словообразование) и супплетивизм (основы местоимений)",,,
E-3,Признаки агглютинативного строя,custom,,Отсутствие полисемантизма аффиксов и постояноство морфемного облика,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-3,Аналитический с элементами синтетизма,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-4,Личность/неличность и одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-7,"Лексическое, морфологическое и синтаксическое",,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-1,Лексический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-3,Маркированное и немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-3,Десятичная с элементами двадцатеричной,,,
H-1,Количество падежей у имени существительного,custom,,Три падежа у существительных и от двух до четырех падежных форм в системе личных местоимений,,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, порядок слов, комбинирование падежных форм с предлогами и послелогами",,,
