feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,
A-10,Противопоставление гласных по назализации,not_applicable,,,,,
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,,,
A-14,Типы дифтонгов,listed,A-14-3,Восходящие и нисходящие,Система дифтонгов варьирует по диалектам.,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-1,Взрывные и фрикативные,,,
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-7,Дентальные и интердентальные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-1,Велярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,Cтатус геминированных согласных в центральных и южных диалектах неясен.,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-2,"Назальные, плавные и вибранты",Для В.я. специфичны глухие латеральный /?/ (латеральный спирант) и дрожащий /?/ (аспирированный сонант).,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-16,"Лабиальные, переднеязычные и заднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-19,По аспирации,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-2-2,Нефонологическая,,,
B-3,Вид ударения (качественные характеристики),listed,B-3-1,Динамическое,,,
B-4,Носитель просодической единицы,listed,B-4-1,Слог,,,
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,
B-6,Носители ограниченного (разноместного) ударения,listed,B-6-6,Третий слог от конца слова,Отмечается второстепенное ударение на первом слоге многосложных слов.,,
B-7,Типы связанного ударения,not_stated,,,,,
B-8,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-9,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-10,Количество уровневых тонов (уровней регистровых (ровных) тонов),listed,B-10-1,Два,,,
B-11,Виды тонем,not_stated,,,,,
B-12,"Типы контурных (скользящих, модулярных, модулированных) тонем",custom,,Высокий/низкий,,,
B-13,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-14,Количество уровней контурных тонов,not_stated,,,,,
B-15,Характер долготы,listed,B-15-1,Фонологическая,,,
B-16,Область гармонического уподобления гласных,listed,B-16-1,Фонема,"Протеза полного гласного, тождественного гласному предшествующего слога, или редуцированного гласного вместо дифтонга в конечных сочетаниях согласных.",,
B-17,Признак гармонического уподобления гласных,listed,B-17-6,Ряд и подъем,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,listed,B-18-13,Гласный или дифтонг предшествующего слога,,,
B-19,Прочие супрасегментные явления,listed,B-19-9,Аспирация и палатализация,Аспирируются начальные смычные согласные ударного слога.,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,custom,,Запрет на стечение более двух согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-12,Запрет на стечение более двух согласных,,,
D-3,Особенности слогового состава слова,custom,,Число слогов от одного до четырех,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-8,Различия в фонетическом составе и акцентные различия,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,"Общекельтские консонантные мутации анлаута (лениция, эклипсис, спирантная) и сандхи -h.",,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,custom,,Внутренняя флексия и фонетически необусловленные изменения в основе,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,Во всех частях речи имеются различия между письменным литературным В.я. и диалектами.,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,Противопоставление по роду формально нейтрализуется во множественном числе.,,
F-2,Морфологические способы выражения согласовательных классов,custom,,"Флексия (внутренняя и внешняя), аффиксы и мутация анлаута",,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,"В прилагательном, местоимении и числительном",,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-1,Только в единственном числе,,,
F-6,Согласование количественных числительных в роде,custom,,"Для числительных ""два"", ""три"" и ""четыре""",,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-1,Лексический,Категория одушевленности формальными средствами не выражена.,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,"В именах существительных отмечаются следы парного числа, сингулятива и собирательности.",,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-1,Единственное,,,
G-6,Система счисления,listed,G-6-3,Десятичная с элементами двадцатеричной,,,
H-1,Количество падежей у имени существительного,listed,H-1-6,Категория падежа отсутствует,,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, морфонологические средства (мутации начальных согласных) и порядок слов",,,
H-3,Падежное оформление именного сказуемого,not_applicable,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,not_applicable,,,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-35,Посессивные местоимения и порядок слов,,,
H-6,Способ выражения пространственных отношений,custom,,Местоименные предлоги и наречия места,,,
