feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,custom,,Список из 11 гласных фонем по количеству степеней подъема терминологически не интерпретируется,Вымерший иранский язык. Выводы о составе вокализма сделаны на основании косвенных данных.,,
A-2,Подъемы гласных,custom,,Список из 11 гласных фонем по признаку подъема терминологически не интерпретируется,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,custom,,Отмечается наличие непереднего и задне-смешанного ряда,Других данных нет.,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,not_stated,,,,,
A-8,Противопоставление гласных по лабиализации,not_stated,,,,,
A-9,Наличие противопоставления гласных по назализации,not_stated,,,,,
A-10,Противопоставление гласных по назализации,not_stated,,,,,
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,,,
A-14,Типы дифтонгов,custom,,Нисходящие и ряд дифтонгов со слабым r на основе ротацированных гласных,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,custom,,Список из тринадцати шумных согласных по способу артикуляции терминологически не интерпретируется,,,
A-17,Типы шумных согласных по месту образования,listed,A-17-3,"Губные, переднеязычные, палатальные и велярные/увулярные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-1,Только губно-губные,,,
A-19,Шумные переднеязычные согласные по месту образования,custom,,Список из пяти шумных переднеязычных согласных терминологически не интерпретируется,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,custom,,Список из трех шумных заднеязычных согласных терминологически не интерпретируется,,,
A-21,Типы шумных ларингальных согласных по месту образования,not_stated,,,Данных нет.,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,not_stated,,,Данных нет.,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",Других данных нет.,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-7,Лабиальные и переднеязычные,Других данных нет.,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,Других данных нет.,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Носитель просодической единицы,listed,B-2-3,Слово,"Ударение в С.я. рассматривается как фактор, починенный просодической оппозиции по ""тяжести""/""легкости"" основ (т.н. ""ритмический закон"").",,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-2,Нефонологическая,,,
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,Об ударении в С.я. можно судить лишь по косвенным признакам.,,
B-5,Фиксированность ударения,listed,B-5-1,Свободное,,,
B-6,Типы связанного ударения,not_applicable,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_applicable,,,,,
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-1,Начальный слог,В двусложных словах (допущение о сохранении в (ранне)согдийском акцентной модели в исследованиях по исторической фонетике).,,
B-10,Виды тонем,not_stated,,,,,
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_stated,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Количество уровней контурных тонов,not_stated,,,,,
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_stated,,,,,
B-15,Характер долготы,listed,B-15-4,Фонологическая и нефонологическая,,,
B-16,Область гармонического уподобления гласных,not_stated,,,Данных нет.,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,custom,,"Ротацизм и лабиализация гласных, озвончние, оглушение и нейстойчивость согласных",,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-4,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,
C-3,Стечения согласных в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру начала слова,not_stated,,,,,
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),listed,D-2-4,Ограниченный набор согласных,Других данных нет.,,
D-3,Ограничения на фонемную структуру в конце слова,not_stated,,,,,
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),custom,,Отсутствуют,Других данных нет.,,
D-5,Варианты особенностей слогового состава слова,not_stated,,,,,
D-6,Различия между знаменательными и служебными словами,not_stated,,,,,
D-7,Типы различий между знаменательными и служебными словами,custom,,Отсутствуют,Других данных нет.,,
D-8,Различия между исконными и заимствованными словами,not_stated,,,,,
D-9,Типы различий между исконными и заимствованными словами,not_stated,,,,,
D-10,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-11,Типы различий между корневыми и аффиксальными морфемами,custom,,Вопрос не изучен,,,
D-12,Функциональный тип чередований,listed,D-12-4,Сопутствующие и смыслоразличительные,,,
D-13,Вид чередований,listed,D-13-9,Консонантные и чередование комплексов,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,,
E-2,Признаки флективного строя,listed,E-2-2,Кумулятивность аффиксов,,,
E-3,Признаки агглютинативного строя,listed,E-3-5,"Отсутствие полисемантизма флексий, единый тип склонения или спряжения и постоянство морфемного облика",,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,,
F-2,Морфологические способы выражения согласовательных классов,custom,,"Артикли, аффиксация и флексии в имени и глаголе",,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,"В прилагательных, причастиях, порядковых числительных, местоимениях и ряде аналитических форм глагола",,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-1,Только в единственном числе,,,
F-6,Согласование количественных числительных в роде,listed,F-6-1,Отсутствует,Других данных нет.,,
F-7,Классифицирующие категории существительных,not_stated,,,Других данных нет.,,
F-8,Противопоставление по личности/неличности,listed,F-8-4,Лексическое и морфологическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-5,Морфологический и синтаксический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,not_stated,,,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,,
H-2,Маркирование субъекта и объекта,listed,H-2-8,"Глагольное согласование, падежные аффиксы и служебные слова",,,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,,
H-4,Падежное оформление посессивного отношения в именной группе,custom,,Родительно-дательный или косвенный падеж,,,
H-5,Другие способы оформления посессивного отношения,custom,,"Соположение, конструкции с глаголами обладания и предлоги",,,
H-6,Способ выражения пространственных отношений,listed,H-6-12,Предлоги и послелоги,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-2,Есть различия,Других данных нет.,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,custom,,Конструкция причастие прошедшего времени + вспомогательный глагол и значимое морфологичнское чередование,,,
I-2,Возможность наложения нескольких залоговых форм,listed,I-2-2,Отсутствует,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-5,Прошедшее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,listed,I-7-5,"Вспомогательный глагол, аффиксы и служебные слова",,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-18,"Лицо, число, время, вид, залог и модальность (наклонение)",,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,custom,,Противопоставление вспомогательных глаголов,,,
J-1,Наличие местоименных слов,listed,J-1-10,"Местоименные наречия, прилагательные и существительные",,,
J-2,Способы выражения дейктических категорий,listed,J-2-16,"Указательные местоимения, предлоги и послелоги",,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-9,Предлоги и послелоги,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-1,Отсутствует,Других данных нет.,,
J-6,"Части речи, выражающие определенность/неопределенность имени",listed,J-6-21,"Артикли, местоимения и числительные",,,
J-7,Способы выражения форм вежливости,listed,J-7-10,В именной и глагольной группах и местоимениях,,,
J-8,Способы выражения отрицания,listed,J-8-3,Отрицательные частицы,,,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,,
K-2,Типы артиклей,listed,K-2-4,Определенный и неопределенный,"В буддийских текстах отмечено использование числительного ""один"" в функции неопределенного артикля.",,
K-3,Неопределенный артикль и числительное «один»,custom,,"В буддийских текстах отмечено использование числительного ""один"" в функции неопределенного артикля",,,
K-4,Расположение артикля,listed,K-4-1,Препозиция,,,
K-5,Постановка артикля в именной группе,not_stated,,,,,
K-6,"Грамматические категории, выражаемые артиклем",listed,K-6-11,"Определенность, падеж, род и число",,,
K-7,Количество типов спряжения глаголов,listed,K-7-2,Два типа спряжения,,,
K-8,Типы глагольного согласования,listed,K-8-4,Субъектное и субъектно-объектное,,,
K-9,"Согласовательные категории, выражаемые причастием",listed,K-9-4,Род,Других данных нет.,,
K-10,"Время, выражаемое причастием",listed,K-10-6,Настоящее и прошедшее,,,
K-11,"Грамматические категории, выражаемые наречием",listed,K-11-2,Степени сравнения,Очень редко.,,
K-12,"Согласовательные категории, выражаемые прилагательным",listed,K-12-10,"Род, число и падеж",,,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,listed,K-13-7,"Рода, числа и падежа",,,
K-14,Атрибутивное согласование прилагательных,not_stated,,,,,
K-15,Типы атрибутивного согласования,listed,K-15-2&K-15-3&K-15-4,По числу&По падежу&По роду,,,
K-16,"Изменяемые грамматические категории, выражаемые существительным",listed,K-16-4,Число,,,
K-17,Кумулятивное выражение нескольких категорий в существительном,listed,K-17-11,"Рода / согласовательного класса, числа и падежа",,,
K-18,Средства словоизменения,listed,K-18-5,Внутренняя флексия и аффиксы,,,
K-19,Модель словоформы,listed,K-19-1,Префиксально-суффиксальная,,,
L-1,Способы словообразования,listed,L-1-12,Аффиксация и словосложение,Словообразование изучено слабо.,,
L-2,"Аффиксы, участвующие в словообразовании",custom,,"Префиксы, суффиксы и потвербы",,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-7,Аккузативная с элементами эргативной,,,
M-2,Фиксированность порядка слов,listed,M-2-1,Жесткий,Других данных нет.,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,,
M-4,Порядок определения и определяемого,listed,M-4-3,Не фиксирован,,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,,
N-3,Оформление сказуемого в придаточном предложении,listed,N-3-3,Финитные и нефинитные формы,,,
N-4,Тип построения сложного предложения,listed,N-4-4,Сочинение и подчинение,,,
N-5,Тип связи между элементами сложного предложения,listed,N-5-3,Союзная и бессоюзная,,,
_aux,,not_applicable,,,А.К.Зотова,,
