feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,custom,,Список из 12 гласных фонем по количеству степеней подъема терминологически не интерпретируется,Бесписьменный язык. Памятников письменности не зафиксировано.,,
A-2,Подъемы гласных,custom,,Список из 12 гласных фонем по признаку подъема терминологически не интерпретируется,,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,custom,,Список из 12 гласных фонем по признаку ряда терминологически не интерпретируется,,,
A-4,Фонологические ступени долготы,custom,,Наличие и характер фонологического противопоставления по долготе неясны,,,
A-5,Противопоставление гласных по лабиализации,not_stated,,,Данных нет.,,
A-6,Противопоставление гласных по назализации,not_stated,,,Данных нет.,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,Данных нет.,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,Других данных нет.,,
A-10,Типы дифтонгов,not_applicable,,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Есть противопоставления по звонкости/глухости и по аспирации,"Предполагается, что состав консонантизма выявлен не полностью.",,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,"Смычные: чистые (неносовые и носовые), аффрикаты (одно- и двухфокусные) и щелевые; срединные (одно- и двухфокусные) и боковые",,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-1,Только билабиальные,ТРЕБУЕТСЯ УТОЧНИТЬ - ОШИБКА В ТЕРМИНАХ ТАБЛИЦЫ (см. статью),,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Нецеребральные и церебральные,,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-6,"Велярные, увулярные и лабиовелярные",ТРЕБУЕТСЯ УТОЧНИТЬ - ОШИБКА В ТЕРМИНАХ ТАБЛИЦЫ (см. статью),,
A-17,Шумные постувулярные согласные по месту образования,custom,,Лабиовелярные,ТРЕБУЕТСЯ УТОЧНИТЬ - ОШИБКА В ТЕРМИНАХ ТАБЛИЦЫ (см. статью),,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,not_stated,,,Других данных нет.,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",Глайды /w/  и /y/ определяются как однофокусные срединные щелевые.,,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,not_stated,,,Данных нет.,,
B-2,Вид ударения,not_stated,,,,,
B-3,Носитель ударения,not_stated,,,,,
B-4,Фиксированность ударения,not_stated,,,,,
B-5,Носитель фиксированного ударения в слове,not_stated,,,,,
B-6,Количество уровней тонов,not_stated,,,Данных нет.,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,custom,,Наличие и фонологический характер долготы неясны,,,
B-10,Область гармонического уподобления гласных,not_stated,,,Данных нет.,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,not_stated,,,Данных нет.,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,not_stated,,,О структуре слога нет достаточных данных.,,
C-2,Конечный согласный в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,Данных нет.,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,Данных нет.,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,Данных нет.,,
D-7,Функциональный тип чередований,not_stated,,,О типах чередований на уровне фонем данных нет.,,
D-8,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,listed,E-2-2,Кумулятивность аффиксов,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-3,Аффиксация в глаголе,,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,В прилагательном и глаголе (?)-связке,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,Других данных нет.,,
F-6,Согласование количественных числительных в роде,not_stated,,,Данных нет.,,
F-7,Классифицирующие категории существительных,not_stated,,,Данных нет.,,
F-8,Противопоставление по личности/ неличности,not_stated,,,Данных нет.,,
F-9,Способ выражения одушествленности/ неодушевленности,not_stated,,,Данных нет.,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа,listed,G-2-2,Немаркированное,,,
G-3,Гонорифические формы числа,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,custom,,Вигезимальная,,,
G-7,"Неопределенный артикль и числительное ""один""",not_stated,,,,,
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,,,
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,,
H-3,Падежное оформление именного сказуемого,not_stated,,,Данных нет.,,
H-4,Падежное оформление посессивного отношения,not_stated,,,Данных нет.,,
H-5,Другие способы оформления посессивного отношения,not_stated,,,Данных нет.,,
H-6,Способ выражения пространственных отношений,custom,,Указательные местоимения и наречия,,,
H-7,Маркирование зависимостного имени в генитивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен,not_stated,,,Данных нет.,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,,
I-1,Способ выражения залоговых форм в глаголе,custom,,Описательный пассив,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Основные временные противопоставления,custom,,"Настоящее, настояще-будущее и прошедшее",,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,listed,I-7-5,"Вспомогательный глагол, аффиксы и служебные слова",,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-19,"Лицо, число, род, время, вид и модальность (наклонение)",,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-2,Только в единственном числе,Других данных нет.,,
I-10,Маркер переходности,listed,I-10-5,Особый тип согласования,,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,,
J-2,Способы выражения дейктических категорий,listed,J-2-11,Указательные местоимения и наречия,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-2,Послелоги,Специальной системы средств пространственной ориентации не выявлено.,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,,
J-5,Морфологическое выражение определенности/неопределенности имени,custom,,Постпозитивный показатель неопределенности,,,
J-6,"Части речи, выражающие определенность-неопределенность имени",custom,,Указательные местоимения,,,
J-7,Способы выражения форм вежливости,not_stated,,,Данных нет.,,
J-8,Способы выражения отрицания,not_stated,,,Данных нет.,,
J-9,Позиция показателя отрицания,not_stated,,,,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,,
K-3,Расположение артикля,not_applicable,,,,,
K-4,Постановка артикля в именной группе,not_applicable,,,,,
K-5,"Грамматические категории, выражаемые артиклем",not_applicable,,,,,
K-6,Количество типов спряжения глаголов,not_stated,,,Данных нет.,,
K-7,Типы глагольного согласования,listed,K-7-3,Субъектное и объектное,,,
K-8,"Согласовательные категории, выражаемые причастием",not_stated,,,Данных нет.,,
K-9,"Время, выражаемое причастием",listed,K-9-4,Прошедшее,Других данных нет.,,
K-10,"Грамматические категории, выражаемые наречием",not_stated,,,Данных нет.,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-7,Род и число,,,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,listed,K-12-5,Рода и числа,,,
K-13,Атрибутивное согласование прилагательных,listed,K-13-1,Всегда присутствует,Других данных нет.,,
K-14,Типы атрибутивного согласования,listed,K-14-9,По роду и числу,,,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-7,Число и падеж,,,
K-16,Кумулятивное выражение нескольких категорий в существительном,listed,K-16-11,"Рода / согласовательного класса, числа и падежа",,,
K-17,Средства словоизменения,custom,,Аффиксы и флексии,,,
K-18,Модель словоформы,listed,K-18-4,Преимущественно или только суффиксальная,,,
L-1,Способы словообразования,not_stated,,,Данных нет.,,
L-2,"Аффиксы, участвующие в словообразовании",not_stated,,,,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,,
