feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,explicit_gap,,,,,
A-2,Подъемы гласных,explicit_gap,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,explicit_gap,,,,,
A-4,Ряды гласных,explicit_gap,,,,,
A-5,Фонологические ступени долготы,explicit_gap,,,,,
A-6,Противопоставление гласных по лабиализации,explicit_gap,,,,,
A-7,Противопоставление гласных по назализации,explicit_gap,,,,,
A-8,Противопоставление гласных по фарингализации,explicit_gap,,,,,
A-9,Противопоставление гласных по продвинутости корня языка,explicit_gap,,,,,
A-10,Наличие дифтонгов и трифтонгов,explicit_gap,,,,,
A-11,Типы дифтонгов,explicit_gap,,,,,
A-12,Инвентарь шумных согласных по ларингальным признакам,explicit_gap,,,,,
A-13,Типы шумных согласных по способу артикуляции,explicit_gap,,,,,
A-14,Инвентарь шумных согласных по месту образования,explicit_gap,,,,,
A-15,Типы шумных губных согласных по месту образования,explicit_gap,,,,,
A-16,Шумные переднеязычные согласные по месту образования,explicit_gap,,,,,
A-17,Типы шумных велярных и увулярных согласных по месту образования,explicit_gap,,,,,
A-18,Наличие типов шумных ларингальных согласных по месту образования,not_stated,,,,,
A-19,Типы шумных ларингальных согласных по месту образования,explicit_gap,,,,,
A-20,Дополнительные артикуляционные противопоставления шумных согласных,explicit_gap,,,,,
A-21,Инвентарь сонорных согласных по способу артикуляции,explicit_gap,,,,,
A-22,Инвентарь сонорных согласных по месту образования,explicit_gap,,,,,
A-23,Дополнительные противопоставления сонорных согласных,explicit_gap,,,,,
A-24,Инвентарь фрикативных согласных по месту образования,explicit_gap,,,,,
B-1,Тип ударения,explicit_gap,,,,,
B-2,Вид ударения,explicit_gap,,,,,
B-3,Носитель ударения,explicit_gap,,,,,
B-4,Фиксированность ударения,explicit_gap,,,,,
B-5,Носитель фиксированного ударения в слове,explicit_gap,,,,,
B-6,Количество уровней тонов,explicit_gap,,,,,
B-7,Контурные признаки тона,explicit_gap,,,,,
B-8,Носитель тона,explicit_gap,,,,,
B-9,Характер долготы,explicit_gap,,,,,
B-10,Область гармонического уподобления гласных,explicit_gap,,,,,
B-11,Признак гармонического уподобления гласных,explicit_gap,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,explicit_gap,,,,,
B-13,Прочие супрасегментные явления,custom,,Оглушение согласных,,,
B-14,Типы фонации,explicit_gap,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-6,Запрет на любые стечения согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-7,Запрет на любые стечения согласных,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,explicit_gap,,,,,
D-8,Вид чередований,explicit_gap,,,,,
E-1,Тип языка по способу соединения морфем в слове,not_stated,,,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-7,Именные флексии,Согласование на стадии исчезновения,Agreement is on its way to disappear,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-4,Отсутствует,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-3,Одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-2,Морфологический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,not_stated,,,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,not_stated,,,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,listed,G-6-6,Двадцатеричная,,,
H-1,Количество падежей у имени существительного,not_stated,,,,,
H-2,Маркирование субъекта и объекта,not_stated,,,,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,not_stated,,,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-1,Глаголы обладания,,,
H-6,Способ выражения пространственных отношений,listed,H-6-11,Именные аффиксы и послелоги,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-1,Нет различий,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-1,Категория залога отсутствует,Пассивная конструкция не встречается в текстах,Passive constructions were not attested in available texts,
I-2,Возможность наложения нескольких залоговых форм,not_applicable,,,,,
I-3,Двойные залоговые формы,not_applicable,,,,,
I-4,Совпадение залоговых форм,not_applicable,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-3&I-5-5,Прошедшее&Будущее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,listed,I-6-1,Раздельное,,,
I-7,Способ выражения временных категорий,listed,I-7-7,Вспомогательный глагол + причастие и аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,custom,,"Лицо, число, время и модальность (наклонение)",,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,listed,I-10-1,Отсутствует,,,
J-1,Наличие местоименных слов,not_stated,,,,,
J-2,Способы выражения дейктических категорий,not_stated,,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",not_stated,,,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",not_stated,,,,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-1,Отсутствует,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",not_applicable,,,,,
J-7,Способы выражения форм вежливости,not_applicable,,,,,
J-8,Способы выражения отрицания,not_stated,,,,,
J-9,Позиция показателя отрицания,not_stated,,,,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,,
K-3,Неопределенный артикль и числительное «один»,not_applicable,,,,,
K-4,Расположение артикля,not_applicable,,,,,
K-5,Постановка артикля в именной группе,not_applicable,,,,,
K-6,"Грамматические категории, выражаемые артиклем",not_applicable,,,,,
K-7,Количество типов спряжения глаголов,listed,K-7-1,Единый тип спряжения,,,
K-8,Типы глагольного согласования,listed,K-8-2,Субъектное,,,
K-9,"Согласовательные категории, выражаемые причастием",not_stated,,,,,
K-10,"Время, выражаемое причастием",not_applicable,,,,,
K-11,"Грамматические категории, выражаемые наречием",not_stated,,,,,
K-12,"Согласовательные категории, выражаемые прилагательным",listed,K-12-7,Род и число,Согласование непоследовательно и находится на стадии исчезновения,Agreement is irregular and is on its way to disappear,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,listed,K-13-5,Рода и числа,,,
K-14,Атрибутивное согласование прилагательных,not_stated,,,,,
K-15,Типы атрибутивного согласования,listed,K-15-2&K-15-3,По числу&По падежу,,,
K-16,"Изменяемые грамматические категории, выражаемые существительным",not_stated,,,,,
K-17,Кумулятивное выражение нескольких категорий в существительном,not_stated,,,,,
K-18,Средства словоизменения,listed,K-18-2,Аффиксы,,,
K-19,Модель словоформы,not_stated,,,,,
L-1,Способы словообразования,listed,L-1-6,Аффиксация,,,
L-2,"Аффиксы, участвующие в словообразовании",not_stated,,,,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-10,Номинативная и эргативная,,,
M-2,Фиксированность порядка слов,not_stated,,,,,
M-3,Основной порядок слов в предложении,not_stated,,,,,
M-4,Порядок определения и определяемого,listed,M-4-3,Не фиксирован,,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,,
N-1,Линейный порядок компонентов в сложном предложении,explicit_gap,,,,,
N-2,Особенности подчиненного компонента в сложном предложении,explicit_gap,,,,,
N-3,Оформление сказуемого в придаточном предложении,explicit_gap,,,,,
N-4,Тип построения сложного предложения,explicit_gap,,,,,
N-5,Тип связи между элементами сложного предложения,explicit_gap,,,,,
_aux,,not_applicable,,,В.В.Дьячков,,
