feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,custom,,Список из девяти гласных фонем по количеству степеней подъема терминологически не интерпретируется,Вымерший иранский язык. Фонетический состав реконструируется предположительно.,,
A-2,Подъемы гласных,custom,,Список из девяти гласных фонем по признаку подъема терминологически не интерпретируется,,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,custom,,Отмечается наличие среднего (смешанного) ряда,Других данных нет.,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,Данных нет.,,
A-6,Противопоставление гласных по назализации,not_stated,,,Данных нет.,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,В памятниках надежно засвидетельствован только один дифтонг и только в конечной позиции.,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Противопоставление по звонкости/глухости,,,
A-12,Типы шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-3,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",Других данных нет.,,
A-14,Типы шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Переднеязычные согласные фонемы по месту образования терминологически не интерпретируются. Отмечается наличие церебральных (аллофонов ?),,,
A-16,Типы шумных велярных и увулярных согласных по месту образования,custom,,Заднеязычные согласные фонемы по месту образования терминологически не интерпретируются,,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,Данных нет.,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,Других данных нет.,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-2,"Назальные, плавные и вибранты",Других данных нет.,,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-7,Лабиальные и переднеязычные,Других данных нет.,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,Других данных нет.,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,custom,,Ударение в текстах не зафиксировано,,,
B-2,Вид ударения,not_stated,,,,,
B-3,Носитель ударения,not_stated,,,,,
B-4,Фиксированность ударения,not_stated,,,,,
B-5,Носитель фиксированного ударения в слове,not_stated,,,,,
B-6,Количество уровней тонов,listed,B-6-4,Тоны отсутствуют,,,
B-7,Контурные признаки тона,not_applicable,,,,,
B-8,Носитель тона,not_applicable,,,,,
B-9,Характер долготы,listed,B-9-2,Нефонологическая,Других данных нет.,,
B-10,Область гармонического уподобления гласных,listed,B-10-5,Группа слогов или все гласные слова,Ассимиляция гласных зафиксирована только одним примером.,,
B-11,Признак гармонического уподобления гласных,listed,B-11-4,Лабиализация,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,listed,B-12-1,Первый гласный слова,,,
B-13,Прочие супрасегментные явления,custom,,Ассимиляция гласных и губных сонорных (гаплология),,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,custom,,Запрет на громоздкие консонантные группы,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-4,Ограниченный набор гласных,Других данных нет.,,
D-3,Особенности слогового состава слова,not_stated,,,Данных нет.,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,Других данных нет.,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-1,Отсутствуют,Других данных нет.,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-2,Различия в фонетическом составе,Других данных нет.,,
D-7,Функциональный тип чередований,listed,D-7-2,Сопутствующие,,,
D-8,Вид чередований,listed,D-8-1,Вокалические,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,listed,E-2-2,Кумулятивность аффиксов,,,
E-3,Признаки агглютинативного строя,listed,E-3-4,Постоянство морфемного облика,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,Грамматический род  в системе имен не прослеживается.,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-1,Артикли,"Релятивный артикль может быть понят, в частности, как фиксирующий форму женского рода (свойственную не всем диалектам Б.я.).",,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-9,"В местоимении, прилагательном и глаголе",,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,Других данных нет.,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,Других данных нет.,,
F-8,Противопоставление по личности/неличности,not_stated,,,Других данных нет.,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-6,Лексический и морфологический,Других данных нет.,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-3,Маркированное и немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,Данных нет.,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,not_stated,,,Данных нет.,,
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, падежные аффиксы и предлоги",,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-5,Косвенный,,,
H-5,Другие способы оформления посессивного отношения,custom,,Посессивные аффиксы и энклитические формы личных местоимений,,,
H-6,Способ выражения пространственных отношений,listed,H-6-40,"Указательные местоимения, наречия и предлоги",,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-1,Нет различий,Других данных нет.,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-4,Аффиксы,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-3,Прошедшее&Настоящее&Будущее,Других данных нет.,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,custom,,Тип основы и флексии,,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",Глагольные категории лица и числа в сохранившихся памятниках представлены неполно.,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
