feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,304
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,304
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,"""Долгие гласные выступают в основном как результат фонетических изменений"".",,304
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,304
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,304
A-8,Противопоставление гласных по лабиализации,not_stated,,,,,304
A-9,Наличие противопоставления гласных по назализации,listed,A-9-1,Присутствует,,,304
A-10,Противопоставление гласных по назализации,listed,A-10-5,В переднем и заднем / непереднем рядах,,,304
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,304
A-14,Типы дифтонгов,not_applicable,,,,,304
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-3,Глоттализованные согласные,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,304
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,304
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье использован термин ""губные"", но в таблице присутствует губно-зубная фонема в.",,304
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-6,Дентальные и альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо термина ""велярные"" в статье используется термин ""заднеязычные"".",,304
A-21,Типы шумных ларингальных согласных по месту образования,not_stated,,,"В статье используется термин ""ларингальные"". Это звуки ъ, гь, г1.",,304
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,В статье упоминается отсутствие лабиализованных смычных.,,304
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,301
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,301
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,explicit_gap,,,"В статье говорится о том, что просодические характеристики бежтинского изучены слабо.",,
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,"В статье ""Цезские языки"" говорится, что ударение в Цезских языках слабое динмаическое, а в статье ""Бежтинский язык"" говорится о том, что динамическое ударение отсутствует.",,301
B-5,Фиксированность ударения,listed,B-5-1,Свободное,"В статье ""Цезские языки"" упоминается, что ударение разноместное.",,301
B-6,Типы связанного ударения,not_applicable,,,"В статье говорится о том, что просодические характеристики бежтинского изучены слабо.",,305
B-7,Тип ударения при формообразовании (словоизменении),explicit_gap,,,"В статье говорится о том, что просодические характеристики бежтинского изучены слабо.",,305
B-8,Тип строго фиксированного ударения (по положению в слове),explicit_gap,,,"В статье говорится о том, что просодические характеристики бежтинского изучены слабо.",,305
B-9,Носители ограниченного (разноместного) ударения,explicit_gap,,,"В статье говорится о том, что просодические характеристики бежтинского изучены слабо.",,305
B-10,Виды тонем,listed,B-10-3,Регистровые и контурные,"Это не указано в статье посвященной языку, но в статье ""Цезские языки"" указано, что предполагается наличие тонов.",,301
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),listed,B-11-1,Два,"Это не указано в статье посвященной языку, но в статье ""Цезские языки"" указано, что предполагается наличие тонов.",,301
B-12,"Типы уровневого (регистрового, ровного) тона",listed,B-12-2&B-12-4,Высокий&Низкий,"Это не указано в статье посвященной языку, но в статье ""Цезские языки"" указано, что предполагается наличие тонов.",,301
B-13,Количество уровней контурных тонов,listed,B-13-1,Два,"Это не указано в статье посвященной языку, но в статье ""Цезские языки"" указано, что предполагается наличие тонов.",,301
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",listed,B-14-1&B-14-4,Восходящий&Нисходящий,"Это не указано в статье посвященной языку, но в статье ""Цезские языки"" указано, что предполагается наличие тонов.",,301
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,listed,B-16-9,Гармоническое уподобление гласных отсутствует,,,
B-17,Признак гармонического уподобления гласных,not_applicable,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-1,Обязательно имеется,,,305
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,305
C-3,Стечения согласных в слоге,listed,C-3-3,Стечения согласных возможны только в конце слога,Такие стечения редки.,,305
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-2,Различия в фонетическом составе,,,
D-7,Функциональный тип чередований,not_stated,,,,,
D-8,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-2,Агглютинативный с элементами флективного,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
